method,dataset,r,lam,val_rmse,seconds
"Lasso MF (numpy, r x lambda)",douban,2,0.1,0.9837,357.9
"Lasso MF (numpy, r x lambda)",douban,1,0.5,0.9837,405.1
"Lasso MF (numpy, r x lambda)",douban,2,0.2,0.9837,358.5
"Lasso MF (numpy, r x lambda)",douban,2,0.3,0.9837,357.1
"Lasso MF (numpy, r x lambda)",douban,2,0.35,0.9837,360.4
"Lasso MF (numpy, r x lambda)",douban,2,0.4,0.9837,358.8
"Lasso MF (numpy, r x lambda)",douban,2,0.42,0.9837,359.9
"Lasso MF (numpy, r x lambda)",douban,2,0.44,0.9837,354.5
"Lasso MF (numpy, r x lambda)",douban,2,0.46,0.9837,355.1
"Lasso MF (numpy, r x lambda)",douban,2,0.48,0.9837,356.2
"Lasso MF (numpy, r x lambda)",douban,2,0.5,0.9837,358.4
"Lasso MF (numpy, r x lambda)",douban,3,0.0,0.7712,358.4
"Lasso MF (numpy, r x lambda)",douban,3,0.001,0.7706,355.7
"Lasso MF (numpy, r x lambda)",douban,3,0.01,0.7711,346.6
"Lasso MF (numpy, r x lambda)",douban,3,0.1,0.9837,354.4
"Lasso MF (numpy, r x lambda)",douban,3,0.2,0.9837,353.6
"Lasso MF (numpy, r x lambda)",douban,3,0.3,0.9837,353.1
"Lasso MF (numpy, r x lambda)",douban,3,0.35,0.9837,353.1
"Lasso MF (numpy, r x lambda)",douban,3,0.4,0.9837,353.8
"Lasso MF (numpy, r x lambda)",douban,3,0.42,0.9837,348.0
"Lasso MF (numpy, r x lambda)",douban,3,0.44,0.9837,354.5
"Lasso MF (numpy, r x lambda)",douban,3,0.46,0.9837,356.0
"Lasso MF (numpy, r x lambda)",douban,3,0.48,0.9837,356.9
"Lasso MF (numpy, r x lambda)",douban,3,0.5,0.9837,354.4
"Lasso MF (numpy, r x lambda)",douban,4,0.0,0.7753,361.4
"Lasso MF (numpy, r x lambda)",douban,4,0.001,0.7746,357.8
"Lasso MF (numpy, r x lambda)",douban,4,0.01,0.7803,360.4
"Lasso MF (numpy, r x lambda)",douban,4,0.1,0.9837,359.9
"Lasso MF (numpy, r x lambda)",douban,4,0.2,0.9837,362.1
"Lasso MF (numpy, r x lambda)",douban,4,0.3,0.9837,360.5
"Lasso MF (numpy, r x lambda)",douban,4,0.4,0.9837,355.0
"Lasso MF (numpy, r x lambda)",douban,4,0.35,0.9837,361.4
"Lasso MF (numpy, r x lambda)",douban,4,0.42,0.9837,353.8
"Lasso MF (numpy, r x lambda)",douban,4,0.44,0.9837,356.4
"Lasso MF (numpy, r x lambda)",douban,4,0.46,0.9837,358.2
"Lasso MF (numpy, r x lambda)",douban,4,0.48,0.9837,359.1
"Lasso MF (numpy, r x lambda)",douban,4,0.5,0.9837,355.9
"Lasso MF (numpy, r x lambda)",douban,5,0.0,0.7814,359.5
"Lasso MF (numpy, r x lambda)",douban,5,0.001,0.7802,356.9
"Lasso MF (numpy, r x lambda)",douban,5,0.01,0.7724,351.1
"Lasso MF (numpy, r x lambda)",douban,5,0.1,0.9837,359.3
"Lasso MF (numpy, r x lambda)",douban,5,0.2,0.9837,359.5
"Lasso MF (numpy, r x lambda)",douban,5,0.3,0.9837,363.0
"Lasso MF (numpy, r x lambda)",douban,5,0.35,0.9837,359.7
"Lasso MF (numpy, r x lambda)",douban,5,0.4,0.9837,355.9
"Lasso MF (numpy, r x lambda)",douban,5,0.42,0.9837,354.2
"Lasso MF (numpy, r x lambda)",douban,5,0.44,0.9837,359.6
"Lasso MF (numpy, r x lambda)",douban,5,0.46,0.9837,358.2
"Lasso MF (numpy, r x lambda)",douban,5,0.48,0.9837,358.4
"Lasso MF (numpy, r x lambda)",douban,5,0.5,0.9837,359.4
"Lasso MF (numpy, r x lambda)",douban,10,0.0,0.8004,364.5
"Lasso MF (numpy, r x lambda)",douban,10,0.001,0.7968,365.6
"Lasso MF (numpy, r x lambda)",douban,10,0.1,0.9837,365.7
"Lasso MF (numpy, r x lambda)",douban,10,0.01,0.7755,369.7
"Lasso MF (numpy, r x lambda)",douban,10,0.2,0.9837,366.9
"Lasso MF (numpy, r x lambda)",douban,10,0.3,0.9837,370.1
"Lasso MF (numpy, r x lambda)",douban,10,0.35,0.9837,366.8
"Lasso MF (numpy, r x lambda)",douban,10,0.4,0.9837,358.9
"Lasso MF (numpy, r x lambda)",douban,10,0.42,0.9837,366.6
"Lasso MF (numpy, r x lambda)",douban,10,0.44,0.9837,369.3
"Lasso MF (numpy, r x lambda)",douban,10,0.48,0.9837,364.7
"Lasso MF (numpy, r x lambda)",douban,10,0.46,0.9837,369.7
"Lasso MF (numpy, r x lambda)",douban,10,0.5,0.9837,360.8
"Lasso MF (numpy, r x lambda)",douban,20,0.0,0.8329,368.8
"Lasso MF (numpy, r x lambda)",douban,20,0.001,0.8255,365.5
"Lasso MF (numpy, r x lambda)",douban,20,0.01,0.7709,371.7
"Lasso MF (numpy, r x lambda)",douban,20,0.1,0.9837,369.3
"Lasso MF (numpy, r x lambda)",douban,20,0.2,0.9837,371.9
"Lasso MF (numpy, r x lambda)",douban,20,0.3,0.9837,369.0
"Lasso MF (numpy, r x lambda)",douban,20,0.35,0.9837,371.3
"Lasso MF (numpy, r x lambda)",douban,20,0.4,0.9837,365.0
"Lasso MF (numpy, r x lambda)",douban,20,0.42,0.9837,373.0
"Lasso MF (numpy, r x lambda)",douban,20,0.44,0.9837,370.0
"Lasso MF (numpy, r x lambda)",douban,20,0.46,0.9837,369.7
"Lasso MF (numpy, r x lambda)",douban,20,0.48,0.9837,366.8
"Lasso MF (numpy, r x lambda)",douban,20,0.5,0.9837,369.6
"Lasso MF (numpy, r x lambda)",douban,50,0.0,0.8935,381.4
"Lasso MF (numpy, r x lambda)",douban,50,0.001,0.8741,379.4
"Lasso MF (numpy, r x lambda)",douban,50,0.1,0.9837,375.3
"Lasso MF (numpy, r x lambda)",douban,50,0.01,0.7715,378.2
"Lasso MF (numpy, r x lambda)",douban,50,0.2,0.9837,375.5
"Lasso MF (numpy, r x lambda)",douban,50,0.3,0.9837,375.4
"Lasso MF (numpy, r x lambda)",douban,50,0.35,0.9837,377.3
"Lasso MF (numpy, r x lambda)",douban,50,0.42,0.9837,377.5
"Lasso MF (numpy, r x lambda)",douban,50,0.4,0.9837,380.3
"Lasso MF (numpy, r x lambda)",douban,50,0.44,0.9837,381.1
"Lasso MF (numpy, r x lambda)",douban,50,0.46,0.9837,384.5
"Lasso MF (numpy, r x lambda)",douban,50,0.48,0.9837,370.6
"Lasso MF (numpy, r x lambda)",douban,50,0.5,0.9837,381.6
"Lasso MF (numpy, r x lambda)",douban,100,0.0,0.9375,391.6
"Lasso MF (numpy, r x lambda)",douban,100,0.001,0.8992,393.5
"Lasso MF (numpy, r x lambda)",douban,100,0.01,0.7732,393.0
"Lasso MF (numpy, r x lambda)",douban,100,0.1,0.9837,397.3
"Lasso MF (numpy, r x lambda)",douban,100,0.2,0.9837,395.1
"Lasso MF (numpy, r x lambda)",douban,100,0.3,0.9837,392.1
"Lasso MF (numpy, r x lambda)",douban,100,0.35,0.9837,396.4
"Lasso MF (numpy, r x lambda)",douban,100,0.42,0.9837,391.8
"Lasso MF (numpy, r x lambda)",douban,100,0.4,0.9837,398.2
