method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",douban,20,0.045,0.8974,407.5
"Ours (numpy, r x lambda)",douban,20,0.04,0.9092,412.2
"Ours (numpy, r x lambda)",douban,20,0.05,0.8866,407.6
"Ours (numpy, r x lambda)",douban,50,0.0,0.9729,411.2
"Ours (numpy, r x lambda)",douban,50,0.0001,0.9728,403.4
"Ours (numpy, r x lambda)",douban,50,0.0005,0.9726,398.9
"Ours (numpy, r x lambda)",douban,50,0.001,0.9723,395.3
"Ours (numpy, r x lambda)",douban,50,0.005,0.9687,399.4
"Ours (numpy, r x lambda)",douban,50,0.01,0.9607,403.6
"Ours (numpy, r x lambda)",douban,50,0.02,0.9351,402.7
"Ours (numpy, r x lambda)",douban,50,0.03,0.9069,405.0
"Ours (numpy, r x lambda)",douban,50,0.04,0.8839,399.2
"Ours (numpy, r x lambda)",douban,50,0.045,0.8741,401.0
"Ours (numpy, r x lambda)",douban,50,0.05,0.8654,403.8
"Ours (numpy, r x lambda)",douban,100,0.0,0.9717,414.5
"Ours (numpy, r x lambda)",douban,100,0.0001,0.9716,411.3
"Ours (numpy, r x lambda)",douban,100,0.0005,0.9714,402.5
"Ours (numpy, r x lambda)",douban,100,0.001,0.971,402.4
"Ours (numpy, r x lambda)",douban,100,0.005,0.9663,401.4
"Ours (numpy, r x lambda)",douban,100,0.01,0.9564,406.5
"Ours (numpy, r x lambda)",douban,100,0.02,0.9283,408.6
"Ours (numpy, r x lambda)",douban,100,0.03,0.9016,400.9
"Ours (numpy, r x lambda)",douban,100,0.04,0.8807,374.9
"Ours (numpy, r x lambda)",douban,100,0.045,0.872,366.4
"Ours (numpy, r x lambda)",douban,100,0.05,0.8642,364.8
